text,severity,class,subclass
"يا شباب، محل بحي الصالحية بحلب فيه نار، تعالوا!",8,FIRE,structure_fire
"في حريق ببيت بحي الشيخ سعد بدير الزور، بدنا مساعدة!",10,FIRE,structure_fire
"مستودع بحي المزة بدمشق عم يحترق، خطر!",9,FIRE,structure_fire
"يا جماعة، بيت بالسويداء فيه نار، بالله ساعدوا!",10,FIRE,structure_fire
"محل بحي الخالدية بحمص عم يحترق، بدنا إطفاء!",8,FIRE,structure_fire
"في حريق بمبنى بحي التضامن بدمشق، خطر كبير!",9,FIRE,structure_fire
"يا شباب، بيت بحي الفردوس بحلب فيه نار، بسرعة!",10,FIRE,structure_fire
"مستودع بحي القابون بدمشق عم يحترق، بدنا مساعدة!",9,FIRE,structure_fire
"يا جماعة، محل بحي الميدان بدمشق فيه نار، تعالوا!",8,FIRE,structure_fire
"بيت بدير الزور قرب الجسر عم يحترق، بالله ساعدوا!",10,FIRE,structure_fire
"مبنى مهجور بحي القصور بحمص فيه نار، خطر!",9,FIRE,structure_fire
"يا شباب، محل بحي الحميدية بدمشق عم يحترق، بسرعة!",8,FIRE,structure_fire
"في حريق ببيت باللاذقية قرب الكورنيش، بدنا إطفاء!",10,FIRE,structure_fire
"مستودع بحي الصالحية بحلب عم يحترق، خطر كبير!",9,FIRE,structure_fire
"يا جماعة، بيت بحي الشيخ سعد بدير الزور فيه نار، ساعدوا!",10,FIRE,structure_fire
"محل بحي المزة بدمشق عم يحترق، بدنا مساعدة!",8,FIRE,structure_fire
"في حريق بمبنى بالسويداء، الناس محاصرة!",9,FIRE,structure_fire
"يا شباب، بيت بحي الخالدية بحمص فيه نار، بسرعة!",10,FIRE,structure_fire
"مستودع بحي التضامن بدمشق عم يحترق، خطر!",9,FIRE,structure_fire
"يا يا جماعة، محل بحي الفردوس بحلب عم يحترق، بدنا إطفاء فوري!",8,FIRE,structure_fire
"في حريق ببيت بحي القابون بدمشق، الناس بخطر!",10,FIRE,structure_fire
"مستودع بحي الميدان بدمشق عم يحترق، بالله ساعدوا!",9,FIRE,structure_fire
"يا شباب، مبنى بحي القصور بحمص فيه نار، تعالوا بسرعة!",8,FIRE,structure_fire
"بيت بحي الحميدية بدمشق عم يحترق، بدنا إطفاء!",10,FIRE,structure_fire
"يا جماعة، محل باللاذقية قرب السوق فيه نار، خطر!",8,FIRE,structure_fire
"مبنى مهجور بحي الصالحية بحلب عم يحترق، بدنا مساعدة!",9,FIRE,structure_fire
"في حريق بمستودع بحي الشيخ سعد بدير الزور، ساعدوا!",9,FIRE,structure_fire
"يا شباب، بيت بالسويداء عم يحترق، بسرعة!",10,FIRE,structure_fire
"محل بحي الخالدية بحمص فيه نار، بدنا إطفاء!",8,FIRE,structure_fire
"في حريق بمبنى بحي التضامن بدمشق، خطر كبير!",9,FIRE,structure_fire
"يا جماعة، بيت بحي الفردوس بحلب فيه نار، ساعدوا!",10,FIRE,structure_fire
"مستودع بحي القابون بدمشق عم يحترق، بدنا مساعدة!",9,FIRE,structure_fire
"يا شباب، محل بحي الميدان بدمشق فيه نار، تعالوا!",8,FIRE,structure_fire
"بيت بدير الزور قرب السوق عم يحترق، بالله ساعدوا!",10,FIRE,structure_fire
"مبنى بحي القصور بحمص فيه نار، خطر!",9,FIRE,structure_fire
"يا جماعة، محل بحي الحميدية بدمشق عم يحترق، بسرعة!",8,FIRE,structure_fire
"في حريق ببيت باللاذقية قرب المينا، بدنا إطفاء!",10,FIRE,structure_fire
"مستودع بحي الصالحية بحلب عم يحترق، خطر كبير!",9,FIRE,structure_fire
"يا شباب، بيت بحي الشيخ سعد بدير الزور فيه نار، ساعدوا!",10,FIRE,structure_fire
"محل بحي المزة بدمشق عم يحترق، بدنا مساعدة!",8,FIRE,structure_fire
"في حريق بمبنى بالسويداء، الناس محاصرة!",9,FIRE,structure_fire
"يا جماعة، بيت بحي الخالدية بحمص فيه نار، بسرعة!",10medi
"مستودع بحي التضامن بدمشق عم يحترق، بدنا إطفاء!",9,FIRE,structure_fire
"يا شباب، محل بحي الفردوس بحلب فيه نار، تعالوا!",8,FIRE,structure_fire
"في حريق ببيت بحي القابون بدمشق، الناس بخطر!",10,FIRE,structure_fire
"مبنى بحي الميدان بدمشق عم يحترق، بالله ساعدوا!",9,FIRE,structure_fire
"يا جماعة، محل بحي القصور بحمص فيه نار، بسرعة!",8,FIRE,structure_fire
"بيت بحي الحميدية بدمشق عم يحترق، بدنا إطفاء!",10,FIRE,structure_fire
"يا شباب، مستودع باللاذقية قرب الكورنيش فيه نار، خطر!",9,FIRE,structure_fire
"في حريق بمبنى بحي الصالحية بحلب، بدنا مساعدة!",9,FIRE,structure_fire
"يا جماعة، بيت بحي الشيخ سعد بدير الزور فيه نار، ساعدوا!",10,FIRE,structure_fire
"محل بحي المزة بدمشق عم يحترق، بدنا إطفاء!",8,FIRE,structure_fire
"في حريق بمبنى بالسويداء، الناس محاصرة!",9,FIRE,structure_fire
"يا شباب، بيت بحي الخالدية بحمص فيه نار، بسرعة!",10,FIRE,structure_fire
"مستودع بحي التضامن بدمشق عم يحترق، خطر!",9,FIRE,structure_fire
"يا جماعة، محل بحي الفردوس بحلب فيه نار، تعالوا!",8,FIRE,structure_fire
"بيت بحي القابون بدمشق عم يحترق، بالله ساعدوا!",10,FIRE,structure_fire
"مبنى بحي الميدان بدمشق فيه نار، بدنا مساعدة!",9,FIRE,structure_fire
"يا شباب، محل بحي القصور بحمص فيه نار، بسرعة!",8,FIRE,structure_fire
"في حريق ببيت بحي الحميدية بدمشق، بدنا إطفاء!",10,FIRE,structure_fire
"مستودع باللاذقية قرب السوق عم يحترق، خطر!",9,FIRE,structure_fire
